Other,Pests,39,Dec
,Crop Variety,269,Sep
Cotton,Pests,18,Oct
Cotton,Fertilizers/Bio-organic,90,Sep
Cotton,Pests,18,Aug
Cotton,Pests,0,Oct
Other,Crop Planning,25,Aug
Cotton,Diseases,47,Sep
Cotton,Pests,15,Sep
Cotton,Other,41,Sep
Cotton,Pests,72,Sep
Cotton,Pests,51,Sep
Cotton,Pests,26,Aug
Cotton,Pests,24,Aug
Other,Pests,0,Sep
Other,Weather,0,Oct
Cumin,Diseases,35,Dec
Chilli,Pests,24,Sep
Other,Fertilizers/Bio-organic,0,Sep
Cotton,Other,77,Sep
Cotton,Pests,21,Aug
Millet,Pests,0,Sep
Cotton,Pests,0,Nov
Cumin,Weed Control,109,Dec
Other,Pests,31,Oct
Other,Other,31,Oct
Cotton,Pests,18,Sep
Cotton,Diseases,0,Dec
Paddy,Pests,0,Sep
Cumin,Land Preparation,60,Nov
Cotton,Fertilizers/Bio-organic,28,Dec
Cotton,Pests,0,Oct
Other,Other,61,Mar
Cotton,Fertilizers/Bio-organic,33,Aug
Cumin,Crop Planning,21,Oct
Cotton,Pests,46,Sep
Cotton,Pests,7,Sep
Millet,Pests,0,Sep
Cotton,Pests,21,Sep
Cotton,Pests,16,Oct
Cotton,Pests,48,Aug
Onion,Crop Planning,36,Nov
Cotton,Fertilizers/Bio-organic,1,Aug
Cotton,Pests,15,Aug
Other,Other,0,Oct
Castor,Pests,22,Sep
Cotton,Pests,13,Sep
Cotton,Fertilizers/Bio-organic,0,Oct
Cotton,Pests,0,Oct
Cotton,Pests,85,Sep
Cotton,Pests,0,Sep
Cotton,Fertilizers/Bio-organic,0,Oct
Cotton,Other,0,Sep
Cumin,Seeds,44,Nov
Chilli,Other,0,Sep
Cotton,Pests,25,Sep
Cotton,Other,181,Oct
Cotton,Pests,0,Sep
Cotton,Pests,138,Oct
Cotton,Pests,0,Sep
Brinjal,Pests,0,Oct
Wheat,Diseases,15,Aug
Other,Other,21,Oct
Cotton,Pests,5,Aug
Other,Other,0,Sep
Cotton,Diseases,89,Oct
Other,Other,0,Sep
Millet,Sowing,0,Oct
