Questions and Answers,Other,Pests,5,PANCHAVADA,23,O,May
Questions and Answers,Cotton,Pests,15,PANCHAVADA,23,O,May
Questions and Answers,Other,Pests,14,PANCHAVADA,23,O,May
Questions and Answers,Cotton,Pests,48,PANCHAVADA,23,O,May
Questions and Answers,Cotton,Pests,4,PANCHAVADA,23,O,May
Questions and Answers,Cotton,Pests,11,PANCHAVADA,23,O,Jun
Questions and Answers,Other,Pests,4,PANCHAVADA,23,O,Jun
Questions and Answers,Other,Pests,4,PANCHAVADA,23,O,Jun
Questions and Answers,Cotton,Pests,4,PANCHAVADA,23,O,Jun
Questions and Answers,Cotton,Pests,39,PANCHAVADA,23,O,May
Questions and Answers,Cumin,Pests,44,PANCHAVADA,23,O,May
Questions and Answers,Cotton,Pests,47,PANCHAVADA,35,O,Sep
Questions and Answers,Cotton,Pests,48,PANCHAVADA,35,O,Sep
Questions and Answers,Cotton,Pests,26,PANCHAVADA,35,O,Aug
Questions and Answers,Cotton,Pests,48,PANCHAVADA,35,O,Sep
Questions and Answers,Cotton,Pests,47,PANCHAVADA,35,O,Sep
Questions and Answers,Cotton,Pests,26,PANCHAVADA,35,O,Aug
Questions and Answers,Cotton,Pests,26,PANCHAVADA,35,O,Aug
Questions and Answers,Cotton,Pests,26,PANCHAVADA,35,O,Aug
Questions and Answers,Cotton,Pests,55,PANCHAVADA,35,O,Sep
Questions and Answers,Cotton,Pests,47,PANCHAVADA,35,O,Sep
Questions and Answers,Cotton,Pests,55,PANCHAVADA,35,O,Sep
Questions and Answers,Cotton,Pests,48,PANCHAVADA,35,O,Sep
Questions and Answers,Cotton,Pests,55,PANCHAVADA,35,O,Sep
Questions and Answers,Cotton,Pests,26,PANCHAVADA,35,O,Aug
Questions and Answers,Cotton,Pests,26,PANCHAVADA,35,O,Aug
Questions and Answers,Cotton,Pests,0,NANA SAKHPAR,24,T,Sep
Questions and Answers,Cotton,Pests,0,NANA SAKHPAR,24,T,Sep
Questions and Answers,Other,Pests,0,NANA SAKHPAR,24,T,Sep
Questions and Answers,Castor,Pests,0,NANA SAKHPAR,24,T,Sep
Questions and Answers,Cotton,Pests,0,NANA SAKHPAR,24,T,Sep
Questions and Answers,Cotton,Pests,0,NANA SAKHPAR,24,T,Sep
Questions and Answers,Cotton,Pests,0,NANA SAKHPAR,24,T,Sep
Questions and Answers,Cotton,Pests,0,NANA SAKHPAR,24,T,Sep
Questions and Answers,Cotton,Pests,0,NANA SAKHPAR,24,T,Sep
Questions and Answers,Cotton,Pests,0,NANA SAKHPAR,24,T,Sep
Questions and Answers,Cotton,Pests,0,NANA SAKHPAR,24,T,Sep
Questions and Answers,Cotton,Pests,0,NANA SAKHPAR,24,T,Sep
Questions and Answers,Chilli,Pests,0,NANA SAKHPAR,24,T,Sep
Questions and Answers,Cotton,Pests,0,NANA SAKHPAR,24,T,Sep
Questions and Answers,Castor,Pests,0,NANA SAKHPAR,24,T,Sep
Questions and Answers,Cotton,Pests,0,NANA SAKHPAR,24,T,Sep
Questions and Answers,Cotton,Pests,0,NANA SAKHPAR,24,T,Sep
Questions and Answers,Cotton,Pests,0,NANA SAKHPAR,24,T,Sep
Questions and Answers,Cumin,Pests,0,NANA SAKHPAR,24,T,Sep
Questions and Answers,Cotton,Pests,0,NANA SAKHPAR,24,T,Sep
Questions and Answers,Cotton,Pests,0,NANA SAKHPAR,24,T,Sep
Questions and Answers,Cotton,Pests,0,NANA SAKHPAR,24,T,Sep
Questions and Answers,Cotton,Pests,0,NANA SAKHPAR,24,T,Sep
Questions and Answers,Cotton,Pests,0,NANA SAKHPAR,24,T,Sep
Questions and Answers,Castor,Pests,0,NANA SAKHPAR,24,T,Sep
Questions and Answers,Other,Pests,0,NANA SAKHPAR,24,T,Sep
Questions and Answers,Cotton,Pests,0,NANA SAKHPAR,24,T,Sep
Questions and Answers,Cotton,Pests,0,NANA SAKHPAR,24,T,Sep
Questions and Answers,Cotton,Pests,0,NANA SAKHPAR,24,T,Sep
Questions and Answers,Cotton,Pests,23,NANA SAKHPAR,24,T,Sep
Questions and Answers,Cotton,Pests,0,NANA SAKHPAR,24,T,Sep
Questions and Answers,Cotton,Pests,0,NANA SAKHPAR,24,T,Sep
Questions and Answers,Cotton,Pests,0,NANA SAKHPAR,24,T,Sep
Questions and Answers,Cotton,Pests,0,NANA SAKHPAR,24,T,Sep
Questions and Answers,Cotton,Pests,0,NANA SAKHPAR,24,T,Sep
Questions and Answers,Cotton,Pests,0,NANA SAKHPAR,24,T,Sep
Questions and Answers,Cotton,Pests,47,NANA SAKHPAR,24,T,Sep
Questions and Answers,Cotton,Pests,0,NANA SAKHPAR,24,T,Sep
Questions and Answers,Cotton,Pests,0,NANA SAKHPAR,24,T,Sep
Questions and Answers,Other,Pests,0,NANA SAKHPAR,24,T,Sep
Questions and Answers,Cotton,Pests,0,NANA SAKHPAR,24,T,Sep
