Cotton,Pests,48,Sep
Cotton,Pests,7,Nov
,Other,179,Jan
Cumin,Crop Planning,18,Dec
Mustard,Crop Planning,20,Sep
Other,Seeds,65,Jun
Cotton,Pests,61,Sep
Other,Government,91,Nov
Wheat,Crop Variety,0,Dec
Other,Other,27,May
Castor,Fertilizers/Bio-organic,15,Oct
Other,Seeds,0,Oct
Other,Other,48,Jan
Cotton,Pests,0,Sep
Groundnut,Diseases,12,Aug
Cotton,Diseases,38,Oct
Other,Government,91,Oct
Other,Fertilizers/Bio-organic,0,Sep
Other,Other,0,Oct
Cumin,Seeds,33,Nov
,Other,0,Sep
Cotton,Pests,95,Sep
Cumin,Irrigation,37,Nov
Other,Seeds,0,Sep
Groundnut,Pests,0,Nov
Cotton,Pests,0,Sep
Cotton,Pests,11,Sep
Cotton,Seeds,0,Sep
Other,Other,0,Sep
Other,Other,29,Nov
Other,Other,0,Oct
Cotton,Pests,58,Aug
Cotton,Weather,0,Dec
Other,Other,0,Sep
Cotton,Pests,0,Oct
Other,Other,0,Sep
Cotton,Pests,52,Sep
Cotton,Pests,7,Aug
Wheat,Sowing,6,Oct
Cotton,Pests,0,Sep
Onion,Diseases,0,Aug
Cotton,Pests,18,Oct
Cotton,Pests,15,Sep
Other,Other,50,Aug
Cotton,Pests,33,Oct
Cotton,Pests,28,Oct
Other,Other,0,Oct
Sorghum,Diseases,24,Sep
Cotton,Pests,0,Sep
Other,Diseases,0,Sep
Cotton,Fertilizers/Bio-organic,26,Sep
Other,Diseases,6,Sep
Other,Other,1,Dec
Cotton,Diseases,18,Sep
Other,Diseases,26,Aug
Cotton,Diseases,3,Jul
Cotton,Pests,72,Aug
Cotton,Pests,91,Sep
Cotton,Diseases,29,Dec
Other,Fertilizers/Bio-organic,0,Oct
Cotton,Pests,8,Sep
Cotton,Pests,132,Aug
Sorghum,Fertilizers/Bio-organic,0,Nov
Onion,Crop Planning,0,Oct
Wheat,Weed Control,24,Dec
Cotton,Fertilizers/Bio-organic,62,Aug
Cotton,Diseases,66,Nov
Cumin,Other,6,Dec
Cotton,Diseases,26,Oct
